shortcode,media_id,mediaID_sec,created_at_unix,created_at_utc,epoch_estimate,is_multiple,count,is_video,vid_duration,off_by
qNTN4rv-UU,7.60348429195929E+017,90640596.055,1404860617,2014-07-08 23:03:37,2011-08-24 21:07:00,False,None,False,None,0
qP34WBP-bx,7.61072626540996E+017,90726927.106,1404946948,2014-07-09 23:02:28,2011-08-24 21:07:00,False,None,False,None,0
qqN8Sfv-SH,7.68488004053362E+017,91610908.991,1405830930,2014-07-20 04:35:30,2011-08-24 21:07:01,False,None,False,None,1
qRyy9bv-bI,7.61613216265529E+017,90791370.423,1405011392,2014-07-10 16:56:32,2011-08-24 21:07:01,False,None,False,None,1
qsC4YhP-dH,7.69002307084872E+017,91672218.69,1405892240,2014-07-20 21:37:20,2011-08-24 21:07:01,False,None,False,None,1
qsTkpzv-a1,7.69075718050015E+017,91680969.959,1405900991,2014-07-21 00:03:11,2011-08-24 21:07:01,False,None,False,None,1
qupeV-P-eG,7.69734991411145E+017,91759561.468,1405979583,2014-07-21 21:53:03,2011-08-24 21:07:01,False,None,False,None,1
qxUvkCP-c9,7.70488240695142E+017,91849355.78,1406069377,2014-07-22 22:49:37,2011-08-24 21:07:01,False,None,True,0,1
r3Ik5gv-fI,7.90137979652794E+017,94191787.201,1408411808,2014-08-19 01:30:08,2011-08-24 21:07:00,False,None,True,0,0
r3Pq1oP-aP,7.90169174126094E+017,94195505.872,1408415527,2014-08-19 02:32:07,2011-08-24 21:07:01,False,None,False,None,1
r5OAynP-RM,7.90724836576978E+017,94261745.998,1408481767,2014-08-19 20:56:07,2011-08-24 21:07:01,False,None,False,None,1
r5SYKbP-Yt,7.90744034879465E+017,94264034.614,1408484056,2014-08-19 21:34:16,2011-08-24 21:07:01,False,None,True,0,1
r5TGaHv-Z6,7.90747212828109E+017,94264413.455,1408484435,2014-08-19 21:40:35,2011-08-24 21:07:01,False,None,True,0,1
r7mOMBP-XP,7.91394260279617E+017,94341547.522,1408561569,2014-08-20 19:06:09,2011-08-24 21:07:01,False,None,True,0,1
rDclI4P-VO,7.75589258294453E+017,92457444.464,1406677466,2014-07-29 23:44:26,2011-08-24 21:07:01,False,None,False,None,1
